0	45	crawl-119-235-237-85.naver.jp	119.235.237.85		Yeti/1.0 (NHN Corp.; http://help.naver.com/robots/)
12	27	x083218.dynamic.ppp.asahi-net.or.jp	122.249.83.218	http://www.google.co.jp/url?sa=t&rct=j&q=&esrc=s&frm=1&source=web&cd=2&ved=0CCsQFjAB&url=http%3A%2F%2Fwww.asa-kashiwa.net%2Fl-miso%2Findex.php&ei=jg6GUOjGF4mKmwXxpYC4CQ&usg=AFQjCNFD6Z-WR9c-fs04o1uavBGO4frKKg&sig2=VFEf4qZKCqieEU85iPn3Eg	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
17	2	softbank126006034204.bbtec.net	126.6.34.204		Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
17	3	softbank126006034204.bbtec.net	126.6.34.204		Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
17	5	wtp-g9-maya5.iad1	150.70.172.236		Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
18	54	softbank126006034204.bbtec.net	126.6.34.204		Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
21	26	softbank126006034204.bbtec.net	126.6.34.204		Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
21	29	wtp-g4-maya9.sjdc	150.70.75.163		Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
22	49	softbank126006034204.bbtec.net	126.6.34.204		Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
22	54	wtp-g9-maya5.iad1	150.70.172.236		Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
22	59	softbank126006034204.bbtec.net	126.6.34.204		Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
